index,LOCATION,INDICATOR,SUBJECT,MEASURE,FREQUENCY,TIME,Value,Flag Codes
0,AUS,CROPYIELD,RICE,TONNE_HA,A,1990,8.314606742,
1,AUS,CROPYIELD,RICE,TONNE_HA,A,1991,8.394736842,
2,AUS,CROPYIELD,RICE,TONNE_HA,A,1992,8.094339623,
3,AUS,CROPYIELD,RICE,TONNE_HA,A,1993,8.336,
4,AUS,CROPYIELD,RICE,TONNE_HA,A,1994,8.537815126,
5,AUS,CROPYIELD,RICE,TONNE_HA,A,1995,7.051094891,
6,AUS,CROPYIELD,RICE,TONNE_HA,A,1996,8.256578947,
7,AUS,CROPYIELD,RICE,TONNE_HA,A,1997,9.006802721,
8,AUS,CROPYIELD,RICE,TONNE_HA,A,1998,9.202702703,
9,AUS,CROPYIELD,RICE,TONNE_HA,A,1999,8.27480916,
10,AUS,CROPYIELD,RICE,TONNE_HA,A,2000,9.282485876,
11,AUS,CROPYIELD,RICE,TONNE_HA,A,2001,8.277777778,
12,AUS,CROPYIELD,RICE,TONNE_HA,A,2002,9.319148936,
13,AUS,CROPYIELD,RICE,TONNE_HA,A,2003,8.378787879,
14,AUS,CROPYIELD,RICE,TONNE_HA,A,2004,6.647058824,
15,AUS,CROPYIELD,RICE,TONNE_HA,A,2005,9.833333333,
16,AUS,CROPYIELD,RICE,TONNE_HA,A,2006,8.15,
17,AUS,CROPYIELD,RICE,TONNE_HA,A,2007,8.500965251,
18,AUS,CROPYIELD,RICE,TONNE_HA,A,2008,8.460939672,
19,AUS,CROPYIELD,RICE,TONNE_HA,A,2009,10.38957266,
20,AUS,CROPYIELD,RICE,TONNE_HA,A,2010,9.544132589,
21,AUS,CROPYIELD,RICE,TONNE_HA,A,2011,8.90979004,
22,AUS,CROPYIELD,RICE,TONNE_HA,A,2012,10.27535743,
23,AUS,CROPYIELD,RICE,TONNE_HA,A,2013,10.93928949,
24,AUS,CROPYIELD,RICE,TONNE_HA,A,2014,7.28364,
25,AUS,CROPYIELD,RICE,TONNE_HA,A,2015,9.39044191,
26,AUS,CROPYIELD,RICE,TONNE_HA,A,2016,9.459926654,
27,AUS,CROPYIELD,RICE,TONNE_HA,A,2017,9.530164843,
28,AUS,CROPYIELD,RICE,TONNE_HA,A,2018,9.600335148,
29,AUS,CROPYIELD,RICE,TONNE_HA,A,2019,9.66933201,
30,AUS,CROPYIELD,RICE,TONNE_HA,A,2020,9.737661608,
31,AUS,CROPYIELD,RICE,TONNE_HA,A,2021,9.806622979,
32,AUS,CROPYIELD,RICE,TONNE_HA,A,2022,9.876412759,
33,AUS,CROPYIELD,RICE,TONNE_HA,A,2023,9.945223653,
34,AUS,CROPYIELD,RICE,TONNE_HA,A,2024,10.01419919,
35,AUS,CROPYIELD,RICE,TONNE_HA,A,2025,10.08308083,
